alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
1.5,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.19239163398742676
2.0,0.0,0.1,0.001,0,0.002068101092163488,0.0,2.210364755228511e-06,0.0020703114569187164,0.16398990154266357,0.22338080406188965
2.0,0.0,0.1,0.001,1,0.0018549682440607285,0.0,1.4290112630988006e-06,0.0018563972553238273,0.15942104160785675,0.24089264869689941
2.0,0.0,0.1,0.001,2,0.001824664657192443,0.0,1.656234076108376e-06,0.0018263208912685513,0.1569267064332962,0.2163374423980713
2.0,0.0,0.1,0.001,3,0.001913423012979365,0.0,1.152915842794755e-06,0.0019145759288221598,0.1584932506084442,0.2290961742401123
2.0,0.0,0.1,0.001,4,0.0019522721707971868,0.0,1.725245624584204e-06,0.001953997416421771,0.16216997802257538,0.17431139945983887
0.0,0.2,0.01,0.01,0,-0.04565785825252533,0.0,0.14282096922397614,0.0971631109714508,0.03817291185259819,0.20108270645141602
0.0,0.2,0.01,0.01,1,-0.05191411077976227,0.0,0.14401620626449585,0.09210209548473358,0.038357898592948914,0.15383195877075195
0.0,0.2,0.01,0.01,2,-0.05904803425073624,0.0,0.15054839849472046,0.09150036424398422,0.04098837822675705,0.19352936744689941
0.0,0.2,0.01,0.01,3,-0.04375625401735306,0.0,0.14365245401859283,0.09989620000123978,0.0363459475338459,0.15659093856811523
0.0,0.2,0.01,0.01,4,-0.0573589950799942,0.0,0.15742692351341248,0.10006792843341827,0.03761446475982666,0.19764232635498047
0.25,0.2,0.01,0.00668740304976422,0,-0.05178046226501465,0.0,0.14282096922397614,0.09104050695896149,0.07122639566659927,0.18028616905212402
0.25,0.2,0.01,0.00668740304976422,1,-0.05699416995048523,0.0,0.14401620626449585,0.08702203631401062,0.07168656587600708,0.17249560356140137
0.25,0.2,0.01,0.00668740304976422,2,-0.06348679214715958,0.0,0.15054839849472046,0.08706160634756088,0.07590184360742569,0.14756155014038086
0.25,0.2,0.01,0.00668740304976422,3,-0.04949422925710678,0.0,0.14365245401859283,0.09415822476148605,0.06674016267061234,0.1861720085144043
0.25,0.2,0.01,0.00668740304976422,4,-0.0609876811504364,0.0,0.15742692351341248,0.09643924236297607,0.07077564299106598,0.22486114501953125
0.5,0.2,0.01,0.00447213595499958,0,-0.04971403628587723,0.0,0.14282096922397614,0.09310693293809891,0.11063050478696823,0.2135477066040039
0.5,0.2,0.01,0.00447213595499958,1,-0.05365254729986191,0.0,0.14401620626449585,0.09036365896463394,0.11114240437746048,0.22769689559936523
0.5,0.2,0.01,0.00447213595499958,2,-0.059149861335754395,0.0,0.15054839849472046,0.09139853715896606,0.11719004809856415,0.2372117042541504
0.5,0.2,0.01,0.00447213595499958,3,-0.047310277819633484,0.0,0.14365245401859283,0.09634217619895935,0.10245508700609207,0.23189759254455566
0.5,0.2,0.01,0.00447213595499958,4,-0.05659501999616623,0.0,0.15742692351341248,0.10083190351724625,0.11040817946195602,0.23768377304077148
0.75,0.2,0.01,0.0029906975624424416,0,-0.04256473481655121,0.0,0.14282096922397614,0.10025623440742493,0.15015122294425964,0.23679804801940918
0.75,0.2,0.01,0.0029906975624424416,1,-0.04536263644695282,0.0,0.14401620626449585,0.09865356981754303,0.15047761797904968,0.2534160614013672
0.75,0.2,0.01,0.0029906975624424416,2,-0.049727849662303925,0.0,0.15054839849472046,0.10082054883241653,0.15834589302539825,0.24184942245483398
0.75,0.2,0.01,0.0029906975624424416,3,-0.040346115827560425,0.0,0.14365245401859283,0.10330633819103241,0.13791917264461517,0.19573616981506348
0.75,0.2,0.01,0.0029906975624424416,4,-0.047513797879219055,0.0,0.15742692351341248,0.10991312563419342,0.15016864240169525,0.22678756713867188
1.0,0.2,0.01,0.002,0,-0.03367156535387039,0.0,0.14282096922397614,0.10914940387010574,0.18510986864566803,0.25084567070007324
1.0,0.2,0.01,0.002,1,-0.03559178113937378,0.0,0.14401620626449585,0.10842442512512207,0.18511594831943512,0.20924854278564453
1.0,0.2,0.01,0.002,2,-0.038886718451976776,0.0,0.15054839849472046,0.11166168004274368,0.1945866346359253,0.18167710304260254
1.0,0.2,0.01,0.002,3,-0.03181830048561096,0.0,0.14365245401859283,0.11183415353298187,0.1690755933523178,0.2268838882446289
1.0,0.2,0.01,0.002,4,-0.03713930398225784,0.0,0.15742692351341248,0.12028761953115463,0.18532045185565948,0.23106861114501953
1.5,0.2,0.01,0.000894427190999916,0,-0.018215112388134003,0.0,0.14282096922397614,0.12460585683584213,0.23494771122932434,0.2481062412261963
1.5,0.2,0.01,0.000894427190999916,1,-0.019081830978393555,0.0,0.14401620626449585,0.1249343752861023,0.23429468274116516,0.20228266716003418
1.5,0.2,0.01,0.000894427190999916,2,-0.020778194069862366,0.0,0.15054839849472046,0.1297702044248581,0.24603672325611115,0.24114441871643066
1.5,0.2,0.01,0.000894427190999916,3,-0.01714693009853363,0.0,0.14365245401859283,0.1265055239200592,0.21322709321975708,0.23641538619995117
