method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
l2,0.1,0.0,0.1,4,0.08407440365442653,0.0,1.725245624584204e-06,0.08407612890005112,0.022064823657274246,0.038997466444248854,0.04325485602021217,0.283876895904541
l2,1.0,0.0,0.1,0,0.006046107633892461,0.0,2.210364755228511e-06,0.00604831799864769,0.13756927847862244,0.02956100758019602,0.030279304832220078,0.30681300163269043
l2,1.0,0.0,0.1,1,0.00549773882221416,0.0,1.4290112630988006e-06,0.005499167833477259,0.1345626413822174,0.027594085247430483,0.028271419927477837,0.2827579975128174
l2,1.0,0.0,0.1,2,0.0054274854550158125,0.0,1.656234076108376e-06,0.005429141689091921,0.1327187418937683,0.026823336318484506,0.027483288198709488,0.2734038829803467
l2,1.0,0.0,0.1,3,0.005687422646246887,0.0,1.152915842794755e-06,0.005688575562089682,0.13385507464408875,0.027336738275771495,0.028008125722408295,0.2535400390625
l2,1.0,0.0,0.1,4,0.005731459270805317,0.0,1.725245624584204e-06,0.005733184516429901,0.1363312155008316,0.028847325469891074,0.029550306499004364,0.3074634075164795
l2,10.0,0.0,0.1,0,9.028887711792777e-05,0.0,2.210364755228511e-06,9.249924187315628e-05,0.1963951587677002,0.004439278351143002,0.004447741899639368,0.295574426651001
l2,10.0,0.0,0.1,1,8.06782932158967e-05,0.0,1.4290112630988006e-06,8.21073044789955e-05,0.18929341435432434,0.004072878326289356,0.004080663435161114,0.2893853187561035
l2,10.0,0.0,0.1,2,7.891403163284849e-05,0.0,1.656234076108376e-06,8.057026570895687e-05,0.18588021397590637,0.00394311232957989,0.003950654529035091,0.2650458812713623
l2,10.0,0.0,0.1,3,8.288419087421062e-05,0.0,1.152915842794755e-06,8.403710671700537e-05,0.18806499242782593,0.004030525594949722,0.004038231447339058,0.27445435523986816
l2,10.0,0.0,0.1,4,8.542628381746908e-05,0.0,1.725245624584204e-06,8.715152944205329e-05,0.19368456304073334,0.004311968102119863,0.004320194944739342,0.2931101322174072
l2,100.0,0.0,0.1,0,inf,0.0,2.210364755228511e-06,inf,inf,,,0.09993743896484375
l2,100.0,0.0,0.1,1,inf,0.0,1.4290112630988006e-06,inf,inf,,,0.10892915725708008
l2,100.0,0.0,0.1,2,inf,0.0,1.656234076108376e-06,inf,inf,,,0.11110925674438477
l2,100.0,0.0,0.1,3,inf,0.0,1.152915842794755e-06,inf,inf,,,0.1013193130493164
